ds,unique_id,y
2023-09-01,0403030D0AAAAAA,602203.0
2023-09-01,0403030Q0AAAAAA,753461.0
2023-09-01,0301040Y0BBAAAA,52810.0
2023-09-01,0602010V0AABZBZ,929215.0
2023-09-01,0704020AEAAABAB,90493.0
2023-09-01,0302000C0BQAABX,4394.0
2023-09-01,0602010V0AABWBW,752785.0
2023-09-01,0209000A0AAABAB,1127709.0
2023-09-01,0601012S0BGAFAI,14197.0
2023-09-01,0302000C0BQABBZ,1716.0
2023-09-01,0401010ADAACZCZ,47893.0
2023-09-01,0205052AEAAACAC,29786.0
2023-09-01,0206020A0AAAAAA,1387991.0
2023-09-01,0601023X0AAAAAA,56782.0
2023-09-01,0302000C0BUAABX,7006.0
2023-09-01,0302000AABBACAC,1204.0
2023-09-01,1404000H0AAAFAF,15228.0
2023-10-01,0901020G0AAAGAG,707044.0
2023-10-01,0601023AGAAABAB,286768.0
2023-10-01,0407010F0AAAHAH,1263068.0
2023-10-01,0302000C0BRAABY,5817.0
2023-10-01,0913011V0BCAAAC,4547750.0
2023-10-01,0105010E0AAABAB,146685.0
2023-10-01,0604011L0BHABAX,44222.0
2023-10-01,0208020AAAAACAC,249992.0
2023-10-01,0208020Z0AAAAAA,221356.0
2023-10-01,21480000101,10796.0
2023-10-01,0208020Y0AAACAC,259477.0
2023-10-01,0209000C0AAAAAA,785021.0
2023-10-01,0704010U0AAAAAA,619871.0
2023-10-01,1404000H0AAANAN,100762.0
2023-10-01,0204000H0AAAJAJ,704678.0
2023-10-01,0906040G0DGAADI,488335.0
2023-10-01,0302000AABBAAAA,4628.0
2023-10-01,0302000K0BDABAM,3860.0
2023-10-01,0208020AAAAABAB,140826.0
2023-10-01,0403010B0AAAGAG,1473121.0
2023-10-01,0601011A0BBABAB,11282.0
2023-10-01,0205051R0AAADAD,781461.0
2023-10-01,0407010H0AAAMAM,5545039.0
2023-10-01,0601023AKAAACAC,71141.0
2023-10-01,0601023ANAAAAAA,79255.0
2023-10-01,0212000B0AAABAB,2519183.0
2023-10-01,0301020Q0BBACAC,2320.0
2023-10-01,0601022B0AAABAB,2063869.0
2023-10-01,0304030C0BEABA3,1036.0
2023-10-01,0403030Q0AAABAB,663836.0
2023-10-01,0106040M0BCACAA,359510.0
2023-10-01,0301020Q0BCAAAD,73590.0
2023-10-01,0501130R0AAAGAG,83751.0
2023-10-01,0212000B0AAADAD,565697.0
2023-10-01,0109040N0BDABAQ,366342.0
2023-10-01,0302000Z0BBAAAA,2966.0
2023-10-01,0103050P0AAAAAA,3263893.0
2023-10-01,0103050L0AAABAB,613139.0
2023-10-01,0601023ANAAABAB,84451.0
2023-10-01,0103050L0AAAAAA,870597.0
2023-10-01,0103010H0AAAAAA,133342.0
2023-10-01,0601012V0BBAEAD,6122.0
2023-10-01,0601023AEAAAAAA,98606.0
2023-10-01,0205051R0AAABAB,624988.0
2023-10-01,0208020Y0AAABAB,72320.0
2023-10-01,0407010H0AABGBG,2037114.0
2023-10-01,0803042W0BBAAAA,721.0
2023-10-01,0302000K0BHAAAM,2018.0
2023-10-01,0208020Z0AAABAB,619028.0
2023-10-01,0301011R0BIAFAP,24748.0
2023-10-01,0206020A0AAABAB,823307.0
2023-10-01,0602010V0AABXBX,776015.0
2023-10-01,0601011A0BBADAC,8831.0
2023-10-01,0601023AWBBACAC,1103.0
2023-10-01,0601023AQBBABAB,2856.0
2023-10-01,0212000B0AAACAC,944440.0
2023-10-01,0403030D0AAAAAA,605214.0
2023-10-01,0403030Q0AAAAAA,772606.0
2023-10-01,0301040Y0BBAAAA,52440.0
2023-10-01,0602010V0AABZBZ,943847.0
2023-10-01,0704020AEAAABAB,94658.0
2023-10-01,0302000C0BQAABX,4578.0
2023-10-01,0602010V0AABWBW,773025.0
2023-10-01,0209000A0AAABAB,1151446.0
2023-10-01,0601012S0BGAFAI,14294.0
2023-10-01,0302000C0BQABBZ,1709.0
2023-10-01,0401010ADAACZCZ,48660.0
2023-10-01,0205052AEAAACAC,31654.0
2023-10-01,0206020A0AAAAAA,1434860.0
2023-10-01,0601023X0AAAAAA,57565.0
2023-10-01,0302000C0BUAABX,7382.0
2023-10-01,0302000AABBACAC,1299.0
2023-10-01,1404000H0AAAFAF,32951.0
2023-11-01,0901020G0AAAGAG,727708.0
2023-11-01,0601023AGAAABAB,300600.0
2023-11-01,0407010F0AAAHAH,1275749.0
2023-11-01,0302000C0BRAABY,6011.0
2023-11-01,0913011V0BCAAAC,4570250.0
2023-11-01,0105010E0AAABAB,145881.0
2023-11-01,0604011L0BHABAX,44915.0
2023-11-01,0208020AAAAACAC,252997.0
2023-11-01,0208020Z0AAAAAA,220717.0
2023-11-01,21480000101,11326.0
2023-11-01,0208020Y0AAACAC,267913.0
2023-11-01,0209000C0AAAAAA,795248.0
2023-11-01,0704010U0AAAAAA,638465.0
2023-11-01,1404000H0AAANAN,15253.0
2023-11-01,0204000H0AAAJAJ,712471.0
2023-11-01,0906040G0DGAADI,504797.0
2023-11-01,0302000AABBAAAA,4725.0
2023-11-01,0302000K0BDABAM,4006.0
2023-11-01,0208020AAAAABAB,142021.0
2023-11-01,0403010B0AAAGAG,1491602.0
2023-11-01,0601011A0BBABAB,11704.0
2023-11-01,0205051R0AAADAD,795722.0
2023-11-01,0407010H0AAAMAM,5621054.0
2023-11-01,0601023AKAAACAC,75050.0
2023-11-01,0601023ANAAAAAA,80308.0
2023-11-01,0212000B0AAABAB,2548233.0
2023-11-01,0301020Q0BBACAC,2454.0
2023-11-01,0601022B0AAABAB,2099568.0
2023-11-01,0304030C0BEABA3,839.0
2023-11-01,0403030Q0AAABAB,673843.0
2023-11-01,0106040M0BCACAA,371900.0
2023-11-01,0301020Q0BCAAAD,63960.0
2023-11-01,0501130R0AAAGAG,80799.0
2023-11-01,0212000B0AAADAD,579870.0
2023-11-01,0109040N0BDABAQ,265018.0
2023-11-01,0302000Z0BBAAAA,3081.0
2023-11-01,0103050P0AAAAAA,3290955.0
2023-11-01,0103050L0AAABAB,627358.0
2023-11-01,0601023ANAAABAB,88002.0
2023-11-01,0103050L0AAAAAA,885025.0
2023-11-01,0103010H0AAAAAA,134526.0
2023-11-01,0601012V0BBAEAD,6592.0
2023-11-01,0601023AEAAAAAA,100051.0
2023-11-01,0205051R0AAABAB,632981.0
2023-11-01,0208020Y0AAABAB,74069.0
2023-11-01,0407010H0AABGBG,2029570.0
2023-11-01,0803042W0BBAAAA,662.0
2023-11-01,0302000K0BHAAAM,2014.0
2023-11-01,0208020Z0AAABAB,637714.0
2023-11-01,0301011R0BIAFAP,26154.0
2023-11-01,0206020A0AAABAB,845943.0
2023-11-01,0602010V0AABXBX,786507.0
2023-11-01,0601011A0BBADAC,9310.0
